Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
103.119.242.120-117.207.212.140-55298-1026-6,103.119.242.120,55298,117.207.212.140,1026,6,07-10-2019 23:05,70151,1,1,0,0,0,0,0,0,0,0,0,0,0,28.50992858,70151,0,70151,70151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,14.25496429,14.25496429,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,Normal
103.119.242.120-117.207.212.140-55298-1026-6,103.119.242.120,55298,117.207.212.140,1026,6,07-10-2019 23:05,70292,1,1,0,0,0,0,0,0,0,0,0,0,0,28.45274,70292,0,70292,70292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,14.22637,14.22637,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,Normal
103.119.242.120-117.207.212.140-55298-1026-6,103.119.242.120,55298,117.207.212.140,1026,6,07-10-2019 23:05,70542,1,1,0,0,0,0,0,0,0,0,0,0,0,28.35190383,70542,0,70542,70542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,14.17595192,14.17595192,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,Normal
58.254.153.188-103.119.242.120-80-55282-6,58.254.153.188,80,103.119.242.120,55282,6,07-10-2019 23:05,3949696,1,2,0,0,0,0,0,0,0,0,0,0,0,0.759552128,1974848,2792779.043,3949641,55,0,0,0,0,0,3949641,3949641,0,3949641,3949641,0,0,0,0,20,40,0.253184043,0.506368085,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,31,255,0,20,0,0,0,0,0,0,0,0,Normal
103.119.242.120-110.39.232.230-55309-23388-6,103.119.242.120,55309,110.39.232.230,23388,6,07-10-2019 23:05,3224215,2,1,0,0,0,0,0,0,0,0,0,0,0,0.930459042,1612107.5,1961889.685,2999373,224842,2999373,2999373,0,2999373,2999373,0,0,0,0,0,0,0,0,0,64,20,0.620306028,0.310153014,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,64240,0,0,32,0,0,0,0,0,0,0,0,Normal
103.119.242.120-58.254.153.188-55283-80-6,103.119.242.120,55283,58.254.153.188,80,6,07-10-2019 23:05,448699,1,1,0,0,0,0,0,0,0,0,0,0,0,4.457331084,448699,0,448699,448699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.228665542,2.228665542,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,29,0,20,0,0,0,0,0,0,0,0,Normal
103.119.242.120-110.39.232.230-55309-23388-6,103.119.242.120,55309,110.39.232.230,23388,6,07-10-2019 23:05,223548,1,1,0,0,0,0,0,0,0,0,0,0,0,8.946624439,223548,0,223548,223548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4.473312219,4.473312219,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,Normal
114.108.236.20-103.119.242.120-60519-31330-6,114.108.236.20,60519,103.119.242.120,31330,6,07-10-2019 23:05,1483731,6,4,358,218,235,0,59.66666667,98.98821479,132,0,54.5,65.67343451,388.2105314,6.739766171,164859,167802.1763,438201,51,1483620,296724,86947.23736,438201,198818,1483680,494560,220823.7589,722123,281157,0,0,0,0,140,92,4.043859702,2.695906468,0,235,52.36363636,80.63035747,6501.254545,1,2,0,4,9,0,0,0,0,57.6,59.66666667,54.5,0,0,0,576,4,573,0,0,0,0,65535,255,2,20,0,0,0,0,0,0,0,0,Normal
106.223.31.63-103.119.242.120-59238-31330-6,106.223.31.63,59238,103.119.242.120,31330,6,07-10-2019 23:05,32212,2,2,117,0,117,0,58.5,82.7314934,0,0,0,0,3632.186763,124.1773252,10737.33333,18440.89044,32031,55,32157,32157,0,32157,32157,32086,32086,0,32086,32086,0,0,0,0,40,40,62.08866261,62.08866261,0,117,23.4,52.32399067,2737.8,1,0,1,1,4,0,0,0,1,29.25,58.5,0,0,0,0,0,0,0,0,0,0,0,65135,0,1,20,0,0,0,0,0,0,0,0,Normal
10.240.250.216-103.119.242.120-43978-31330-6,10.240.250.216,43978,103.119.242.120,31330,6,07-10-2019 23:05,54901,3,2,68,0,68,0,22.66666667,39.2598183,0,0,0,0,1238.593104,91.07302235,13725.25,27148.71564,54448,0,54653,27326.5,38645.50691,54653,0,54696,54696,0,54696,54696,0,0,0,0,80,52,54.64381341,36.42920894,0,68,11.33333333,27.76088375,770.6666667,1,2,0,1,4,0,0,0,0,13.6,22.66666667,0,0,0,0,0,0,0,0,0,0,0,29200,256,1,20,0,0,0,0,0,0,0,0,Normal
